ids,label,phaidra
"['https://viaf.org/viaf/35309433/', 'https://www.wikidata.org/wiki/Q105301', 'https://data.cerl.org/thesaurus/cnp00148438']","Wacker von Wackenfels, Johann Matthäus",https://pid.phaidra.org/vocabulary/4V02-9C0J
[],Wife of Tanner,https://pid.phaidra.org/vocabulary/R83S-6PG7
[],"Redeius, Franciscus",https://pid.phaidra.org/vocabulary/P9YQ-2J2G
[],"Huter, Jacobus de",https://pid.phaidra.org/vocabulary/SDCV-RE0A
"['ttp://viaf.org/viaf/76348109', 'https://data.cerl.org/thesaurus/cnp01325691', 'https://www.wikidata.org/wiki/Q3089251']","Du Duc, Fronton",https://pid.phaidra.org/vocabulary/CNPJ-FTAQ
"['https://viaf.org/viaf/49226033/', 'https://data.cerl.org/thesaurus/cnp01317315', 'https://www.wikidata.org/wiki/Q60116']","Gessner, Conrad",https://pid.phaidra.org/vocabulary/W1R8-5MA7
"['https://viaf.org/viaf/17355975/', 'https://www.wikidata.org/wiki/Q3288216', 'https://data.cerl.org/thesaurus/cnp01358517']","Lescarbot, Marc",https://pid.phaidra.org/vocabulary/HPDX-YDAD
['https://raa.gf-franken.de/de/suche-nach-stammbucheintraegen.html?permaLink=1627_gerlach;120'],"Geiger, Matthias",https://pid.phaidra.org/vocabulary/JVDJ-4X1M
[],Elver,https://pid.phaidra.org/vocabulary/GSZT-8KXT
"['https://www.wikidata.org/wiki/Q27588003', 'https://data.cerl.org/thesaurus/cnp01196661', 'http://viaf.org/viaf/95656627']","Questenberg, Hermann von",https://pid.phaidra.org/vocabulary/15VX-B7VC
"['https://www.wikidata.org/wiki/Q171349', 'https://data.cerl.org/thesaurus/cnp00876762']",Abbas I,https://pid.phaidra.org/vocabulary/ZX1S-02MP
['https://www.wikidata.org/wiki/Q82793'],Callisthenes,https://pid.phaidra.org/vocabulary/EJ5V-43R3
[],Lemandro,https://pid.phaidra.org/vocabulary/E2P1-R17W
"['https://data.cerl.org/thesaurus/cnp02038584', 'https://www.wikidata.org/wiki/Q55123565', 'https://viaf.org/viaf/162926273/']","Bötzer, Anton",https://pid.phaidra.org/vocabulary/3GVF-VYZU
"['https://viaf.org/viaf/64065219/', 'https://www.wikidata.org/wiki/Q2058139', 'https://data.cerl.org/thesaurus/cnp01336089']","Téllez-Girón, Pedro",https://pid.phaidra.org/vocabulary/Z4AB-93TK
['https://www.geschichtewiki.wien.gv.at/Caspar_Rath'],"Rath, Kaspar",https://pid.phaidra.org/vocabulary/QT91-YAT6
"['https://viaf.org/viaf/49321911/', 'https://www.wikidata.org/wiki/Q132692', 'https://data.cerl.org/thesaurus/cnp01445648']",Gregory XV,https://pid.phaidra.org/vocabulary/3WJ4-2Y50
[],Christianus Reutnerus,https://pid.phaidra.org/vocabulary/RGYF-GZCY
"['https://data.cerl.org/thesaurus/cnp01876178', 'https://www.wikidata.org/wiki/Q39072817', 'https://viaf.org/viaf/17247790/']","Scribani, Carolus",https://pid.phaidra.org/vocabulary/5M16-EN9X
[],"Ressler, Martin",https://pid.phaidra.org/vocabulary/7N8P-TZSB
[],Moghul,https://pid.phaidra.org/vocabulary/ZXHD-MEQE
[],Ebu Giapher,https://pid.phaidra.org/vocabulary/9VFC-Y9AG
['https://www.wikidata.org/wiki/Q5264'],Hippocrates,https://pid.phaidra.org/vocabulary/K3MH-1JA7
['https://bibale.irht.cnrs.fr/30858'],"Parent, Jérôme",https://pid.phaidra.org/vocabulary/KENR-JJSA
"['https://data.cerl.org/thesaurus/cnp00398070', 'https://viaf.org/viaf/36948387/', 'https://www.wikidata.org/wiki/Q320735']","Ebendorfer, Thomas",https://pid.phaidra.org/vocabulary/AN4Y-88XR
[],"Norris, John",https://pid.phaidra.org/vocabulary/J5KQ-BYJ6
[],"Schauern, Paul",https://pid.phaidra.org/vocabulary/DVR8-XNYF
['https://data.cerl.org/thesaurus/cnp01468331'],"Cayet, Pierre Victor",https://pid.phaidra.org/vocabulary/44D7-9DTC
"['https://viaf.org/viaf/808636/', 'https://data.cerl.org/thesaurus/cnp00589414', 'https://www.wikidata.org/wiki/Q435274']","Cardianus, Hieronymus",https://pid.phaidra.org/vocabulary/DSKW-Q87E
[],"Tellekoms, Joost",https://pid.phaidra.org/vocabulary/2JK6-KAW9
"['https://data.cerl.org/thesaurus/cnp00388389', 'https://www.wikidata.org/wiki/Q1505398', 'https://viaf.org/viaf/39331373/']","Georg Michael, Lingelsheim",https://pid.phaidra.org/vocabulary/X04K-ZF41
"['https://viaf.org/viaf/195818854/', 'https://www.wikidata.org/wiki/Q172056', 'https://data.cerl.org/thesaurus/cnp00480333']",Osman II,https://pid.phaidra.org/vocabulary/VKSK-YF3V
"['https://www.wikidata.org/wiki/Q2270219', 'https://viaf.org/viaf/59338304/', 'https://data.cerl.org/thesaurus/cnp01381938']","Moncada, Francisco",https://pid.phaidra.org/vocabulary/GXFX-VWDR
"['https://www.wikidata.org/wiki/Q8778', 'https://viaf.org/viaf/44299175/', 'https://data.cerl.org/thesaurus/cnp01235003']",Galen,https://pid.phaidra.org/vocabulary/E35V-ZAYG
"['https://www.wikidata.org/wiki/Q322940', 'https://viaf.org/viaf/71557379/', 'https://data.cerl.org/thesaurus/cnp00104727']","Ciampoli, Giovanni",https://pid.phaidra.org/vocabulary/VQWR-MEVT
['https://dbe.rah.es/biografias/51118/antonio-de-san-roman'],Antonio de San Roman,https://pid.phaidra.org/vocabulary/SBDB-3XXT
"['https://viaf.org/viaf/31145067059966631185/', 'https://www.wikidata.org/wiki/Q7793860', 'https://data.cerl.org/thesaurus/cnp00463306']","Segeth, Thomas",https://pid.phaidra.org/vocabulary/SNRE-DHFX
